MeanLength,X2016,X2017,X2018,X2019
19,1,0,0.5,0
20,0,0,0,0
21,0,0,0,21
22,0,3,1.5,18
23,4,3,3.5,78
24,6,3,4.5,173
25,22,5,13.5,522
26,88,1,44.5,463
27,192,1,96.5,922
28,207,4,105.5,487
29,342,3,172.5,987
30,328,2,165,609
31,459,3,231,902
32,351,1,176,575
33,420,4,212,998
34,306,13,159.5,519
35,368,20,194,893
36,259,16,137.5,519
37,293,26,159.5,764
38,232,22,127,452
39,296,35,165.5,558
40,213,16,114.5,298
41,198,16,107,366
42,141,6,73.5,169
43,144,13,78.5,160
44,95,3,49,53
45,93,6,49.5,132
46,81,3,42,71
47,75,4,39.5,195
48,59,3,31,108
49,46,1,23.5,50
50,37,1,19,56
51,46,0,23,59
52,14,0,7,14
53,19,0,9.5,16
54,16,0,8,5
55,23,0,11.5,6
56,13,0,6.5,17
57,5,0,2.5,28
58,1,0,0.5,3
59,5,0,2.5,1
60,1,0,0.5,3
61,3,0,1.5,6
62,1,0,0.5,0
63,1,0,0.5,0
64,2,0,1,1
65,3,0,1.5,6
66,2,0,1,4
67,0,0,0,2
68,1,0,0.5,2
69,0,0,0,3
70,0,0,0,0
71,1,0,0.5,1
72,0,0,0,0
73,0,0,0,0
74,1,0,0.5,1
75,0,0,0,1
76,1,0,0.5,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,1
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0